Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
39,Non-binary,Bachelor's,Married,107054,611,10520,Business,Employed,7,Poor,0.177283417,,2,Mahoneyshire,WY,Cameroon,4,2,Low
27,Non-binary,PhD,Single,88480,,12543,Business,Unemployed,18,Excellent,0.58152447,41181,0,Lake Anthony,OK,Saint Vincent and the Grenadines,1,0,Medium
34,Male,PhD,Single,53577,,19688,Business,Self-employed,5,Excellent,0.137399877,102066,0,Alexandershire,WA,Zambia,2,1,Medium
33,Male,Bachelor's,Single,89625,707,20586,Personal,Unemployed,3,Excellent,0.536426463,,3,East Bethanyville,MD,Suriname,0,1,Low
60,Non-binary,High School,Divorced,23072,,42933,Personal,Unemployed,11,Fair,0.576669554,22456,3,West Arthurmouth,UT,New Caledonia,3,0,Medium
32,Male,PhD,Widowed,,793,29218,Business,Self-employed,0,Fair,0.541141624,262529,3,Lisaview,PR,Cyprus,1,1,Medium
59,Female,Master's,Single,39749,749,14782,Personal,Employed,3,Good,0.119590169,52576,1,Samanthashire,DC,Nicaragua,1,2,High
58,Female,High School,Single,34450,613,43126,Home,Employed,13,Good,0.412458111,,1,New William,MD,Venezuela,2,1,High
23,Non-binary,PhD,Single,34378,602,30010,Home,Employed,7,Excellent,0.513694406,61593,0,North Tracy,PR,Spain,4,2,Medium
66,Female,Master's,Widowed,47584,667,7343,Personal,Self-employed,9,Poor,0.264632251,149867,3,East Curtiston,AL,Kuwait,4,1,Low
48,Male,Bachelor's,Single,25465,671,36672,Auto,Self-employed,8,Fair,0.255003057,237546,4,Markville,PA,Romania,1,1,Medium
50,Female,Bachelor's,Single,29879,,34733,Business,Employed,13,Excellent,0.355564145,133149,0,Port Ericaside,NE,Martinique,1,0,Low
19,Male,PhD,Married,105783,649,34842,Home,Unemployed,14,Excellent,0.17893033,169091,4,North Lisa,PW,Serbia,3,0,High
51,Non-binary,High School,Single,27549,679,8936,Business,Self-employed,5,Excellent,0.356270605,73644,4,East David,WA,New Caledonia,0,0,Low
57,Male,High School,Married,114817,620,36310,Auto,Self-employed,2,Poor,0.253159508,281540,2,Lake Peggyburgh,CT,Syrian Arab Republic,3,2,Low
67,Male,PhD,Widowed,71481,788,36790,Auto,Self-employed,9,Excellent,0.281988034,292983,2,Lake Elizabethtown,NJ,Korea,0,1,Low
41,Non-binary,PhD,Single,33416,,42551,Business,Self-employed,8,Poor,0.312377134,60932,2,Pennyside,NH,Bhutan,4,2,High
19,Female,High School,Married,,,38144,Personal,Self-employed,15,Poor,0.590487306,229877,2,Port Kevinmouth,CT,Algeria,4,0,High
52,Non-binary,High School,Divorced,115761,756,43433,Home,Employed,4,Excellent,0.59362322,,3,Loriport,AL,Austria,,2,Low
19,Female,High School,Married,29759,679,36900,Home,Unemployed,3,Poor,0.163766743,113509,4,Davidberg,FL,Germany,,0,Low
22,Non-binary,Master's,Married,32020,609,,Business,Employed,9,Poor,0.556730012,37294,3,Durhamland,AK,Eritrea,4,1,Low
33,Male,High School,Widowed,,724,31082,Personal,Employed,3,Fair,0.268105,32864,,North Josephfort,PW,Moldova,,1,Low
32,Male,Master's,Divorced,48082,639,9937,Home,Unemployed,18,Excellent,0.343449067,297632,1,Lopezfurt,DC,Serbia,3,2,Medium
30,Female,High School,Single,32850,606,36421,Home,Unemployed,5,Good,0.185967814,75563,3,Hawkinston,GA,Nauru,3,2,High
57,Non-binary,Master's,Married,79019,740,31571,Home,Employed,9,Excellent,0.249483129,153720,4,Thomashaven,CO,Germany,0,0,Medium
43,Female,Master's,Divorced,95400,768,44512,Auto,Unemployed,19,Fair,0.1454004,125061,1,New Michael,MD,Indonesia,2,2,Low
38,Female,Bachelor's,Divorced,43563,,26057,Personal,Employed,13,Good,0.307982878,131822,2,Christinebury,DC,Belize,2,0,Low
61,Non-binary,Master's,Single,87147,753,17052,Personal,Unemployed,17,Fair,0.125063767,136931,4,Georgeshire,OR,United States of America,2,1,High
26,Non-binary,Master's,Widowed,,,,Auto,Unemployed,14,Poor,0.451315292,209477,2,Port Vickie,SD,Guyana,1,1,Medium
39,Female,Master's,Single,,744,16163,Personal,Self-employed,11,Fair,0.468650298,250111,2,Lake Marc,NY,Colombia,4,0,Low
47,Non-binary,PhD,Widowed,,714,22189,Personal,Employed,0,Poor,0.470045552,49985,,Karenfurt,ME,Senegal,,2,High
46,Male,Bachelor's,Married,80763,666,31412,Personal,Self-employed,0,Good,0.52093069,,0,Scotttown,IL,Saint Barthelemy,0,0,High
41,Female,High School,Divorced,,608,,Home,Unemployed,1,Fair,0.127779185,209688,0,Doughertyfurt,VI,Somalia,3,0,Medium
55,Male,Bachelor's,Married,116485,618,,Auto,Employed,2,Good,0.439743651,114453,3,Angelafurt,PA,Cameroon,1,1,Medium
23,Male,Bachelor's,Single,,727,26248,Business,Self-employed,12,Poor,0.388800333,255698,,Robertschester,DC,Papua New Guinea,2,2,Medium
56,Male,Master's,Widowed,62427,694,17425,Auto,Employed,8,Good,0.505040598,,4,Loganchester,CA,Slovenia,1,0,Low
24,Female,Bachelor's,Widowed,,717,48484,Business,Self-employed,6,Good,0.172695047,295620,4,West Feliciafort,DE,Albania,4,1,Low
41,Female,Master's,Divorced,84099,703,17964,Personal,Unemployed,8,Good,0.229469247,,0,New Emily,AS,Lebanon,1,0,High
28,Male,Bachelor's,Divorced,70859,779,40292,Auto,Employed,19,Good,0.261394235,57335,4,New Nicholasview,NE,Seychelles,0,1,Low
46,Female,High School,Widowed,109049,705,,Business,Employed,6,Poor,0.406229335,112323,3,Port Meganland,MO,France,2,1,High
55,Male,Bachelor's,Widowed,40264,760,27954,Auto,Unemployed,2,Poor,0.484199351,38974,2,West Alexandria,PW,Japan,4,0,High
18,Non-binary,PhD,Married,57832,684,48773,Personal,Employed,5,Fair,0.158734793,66195,1,Lake Riley,DC,Nicaragua,0,1,Low
65,Female,Bachelor's,Single,77541,610,24021,Home,Employed,19,Fair,0.335468418,155547,3,Michelleton,AZ,Belarus,4,2,Medium
60,Female,Master's,Widowed,105346,688,7524,Business,Employed,3,Excellent,0.495716022,169859,0,Zacharyfort,NV,American Samoa,,0,High
68,Male,Bachelor's,Married,57165,642,8590,Personal,Employed,6,Poor,0.124873411,172425,3,Lopezville,CO,Georgia,0,1,High
46,Non-binary,Master's,Single,104475,,33131,Personal,Self-employed,10,Poor,0.319350056,259204,1,New Daleport,FL,Korea,0,1,High
26,Female,Bachelor's,Single,75956,739,,Auto,Unemployed,19,Excellent,0.102209654,71361,2,North Sabrinastad,NV,Uruguay,,0,Low
40,Female,High School,Divorced,36575,741,,Business,Self-employed,18,Good,0.39551113,155549,4,Port Kimberly,MP,Belize,,2,Low
44,Female,PhD,Married,31537,742,,Home,Employed,19,Fair,0.457763368,113750,1,Piercefurt,CT,Bulgaria,2,2,High
32,Female,Master's,Divorced,20123,,16662,Personal,Employed,12,Good,0.43493339,,0,South Cheryl,DE,Mali,2,1,Medium
55,Male,PhD,Divorced,33292,,39561,Home,Employed,19,Excellent,0.332786653,,1,West Brianville,MP,Colombia,1,0,High
61,Female,PhD,Widowed,,678,43719,Personal,Unemployed,14,Good,0.146329979,,,West Eric,ND,Sao Tome and Principe,3,2,Medium
47,Male,PhD,Divorced,36464,679,43920,Personal,Employed,18,Poor,0.254976115,276382,3,Daviesview,AZ,Somalia,,1,Medium
41,Female,Bachelor's,Divorced,64156,785,27322,Personal,Employed,12,Excellent,0.554017452,240752,0,Lucashaven,AS,Greece,,0,High
66,Male,PhD,Widowed,,,,Home,Employed,5,Excellent,0.130819847,114439,,North Ashley,PR,Nicaragua,0,0,Low
62,Non-binary,Bachelor's,Widowed,33157,764,43328,Auto,Unemployed,19,Poor,0.253706505,111543,1,Port Lucasburgh,PW,France,1,2,High
34,Non-binary,Bachelor's,Single,113396,773,23951,Business,Self-employed,17,Good,0.57731538,32446,,Nancymouth,SD,Cote d'Ivoire,3,1,Low
68,Female,PhD,Divorced,45734,694,,Business,Employed,3,Excellent,0.2409507,,,North Benjamin,HI,Saint Martin,3,0,High
35,Male,High School,Widowed,103275,,35534,Auto,Unemployed,7,Fair,0.491489283,51068,3,Andersonland,MI,Uruguay,2,2,Medium
28,Female,High School,Divorced,28831,699,13846,Home,Employed,13,Poor,0.151754232,147990,3,Blackfurt,VA,Trinidad and Tobago,,0,Low
32,Non-binary,Bachelor's,Single,44276,787,6635,Personal,Self-employed,16,Fair,0.523119024,216475,3,Isabellastad,SD,Austria,1,1,Low
30,Male,PhD,Married,,,32879,Personal,Unemployed,3,Good,0.322287162,255588,4,Ryanmouth,AR,Italy,0,2,Low
48,Male,PhD,Divorced,60244,710,5755,Personal,Self-employed,2,Poor,0.113770639,161295,,New Edward,ME,Puerto Rico,0,0,Low
55,Female,Master's,Widowed,23399,652,17973,Business,Employed,10,Poor,0.194859364,79012,1,North Bryanstad,DC,New Zealand,3,1,Medium
65,Non-binary,PhD,Widowed,95033,775,31483,Business,Unemployed,17,Poor,0.285541476,33828,,Lake Heathertown,WV,Liechtenstein,3,2,Low
58,Non-binary,Master's,Divorced,68504,694,8884,Business,Self-employed,16,Poor,0.408692141,169295,,Lake Amyfurt,DE,San Marino,4,0,Medium
43,Non-binary,PhD,Married,61132,700,5654,Home,Employed,18,Poor,0.336442965,246098,0,Jasonland,NJ,Guyana,1,0,High
63,Non-binary,High School,Widowed,85179,788,,Personal,Employed,12,Poor,0.425241031,284821,2,South Brian,SC,San Marino,,0,Medium
62,Female,Bachelor's,Divorced,26180,685,19828,Home,Employed,19,Poor,0.218798145,137563,1,Debbieborough,NM,Hong Kong,3,1,High
18,Male,High School,Married,118550,753,17210,Auto,Employed,0,Good,0.17219268,258358,3,West Kevinborough,TX,Tajikistan,1,1,High
23,Female,PhD,Divorced,118428,697,25508,Business,Employed,9,Poor,0.508672695,181995,3,East Donald,OK,Eritrea,1,2,High
36,Non-binary,Bachelor's,Married,87762,615,23131,Auto,Employed,18,Poor,0.396398853,141271,1,Amandaton,MS,Oman,0,1,Medium
35,Male,PhD,Widowed,51152,706,12005,Personal,Self-employed,0,Poor,0.144638149,77932,4,Lowefort,TX,Sao Tome and Principe,,1,Medium
31,Non-binary,PhD,Divorced,78770,770,,Business,Unemployed,7,Excellent,0.294122885,287888,1,Andreaside,KY,Israel,4,1,Low
21,Non-binary,Bachelor's,Divorced,110725,,,Business,Self-employed,1,Excellent,0.191815917,138799,2,Lake Doris,AZ,Ukraine,2,2,Low
47,Non-binary,PhD,Single,58297,,,Business,Self-employed,9,Excellent,0.550836392,256877,1,Amychester,WY,Eritrea,3,0,Medium
62,Non-binary,High School,Married,98313,602,36874,Auto,Self-employed,19,Fair,0.517467042,35809,,North Tony,OR,Bolivia,3,0,Low
57,Female,High School,Widowed,,617,41064,Business,Employed,10,Fair,0.358176384,247174,2,Pattystad,NY,Comoros,,1,High
30,Female,PhD,Divorced,76172,730,17519,Business,Unemployed,16,Good,0.351140952,297449,3,New Steven,CA,Venezuela,2,0,Low
69,Non-binary,Master's,Single,21674,,10936,Personal,Unemployed,19,Good,0.430501933,160851,2,New Mark,AR,Chile,0,2,Medium
40,Female,PhD,Widowed,98629,799,26021,Auto,Unemployed,7,Poor,0.253615543,200737,3,North Dustin,ND,Guam,,1,Low
41,Male,Master's,Married,45700,615,30205,Home,Employed,12,Poor,0.559940811,62711,2,East Kimberlyfort,FL,Nepal,,0,Medium
45,Female,Master's,Widowed,107638,675,20023,Business,Unemployed,18,Fair,0.269524767,185101,,Arthurtown,PW,Portugal,2,2,High
47,Non-binary,Master's,Divorced,,653,21044,Business,Unemployed,7,Good,0.313086578,240581,2,Kristinafort,NJ,Estonia,3,2,Low
21,Male,PhD,Single,,730,41903,Personal,Employed,11,Fair,0.429017172,243197,3,Lake Michael,SD,Moldova,4,0,Low
64,Non-binary,High School,Divorced,80044,706,8392,Auto,Self-employed,6,Poor,0.506514339,187417,4,Paulashire,KS,British Virgin Islands,2,0,Low
65,Female,High School,Widowed,20907,,23855,Auto,Employed,19,Fair,0.581358611,197796,2,West Zacharystad,DC,Czech Republic,0,2,High
21,Non-binary,Bachelor's,Widowed,21071,674,19789,Business,Unemployed,14,Poor,0.49815063,56410,4,East Randyshire,OK,Sierra Leone,2,1,Low
30,Female,Bachelor's,Single,90207,749,49186,Auto,Self-employed,18,Poor,0.324782726,232337,4,North Megan,MS,Western Sahara,0,1,Medium
37,Male,Bachelor's,Widowed,85524,657,24267,Personal,Self-employed,4,Good,0.311418317,138327,4,North Brian,FL,Djibouti,,2,High
63,Non-binary,High School,Widowed,20818,651,46021,Home,Employed,9,Excellent,0.417345925,223826,4,Port Catherine,NH,Anguilla,2,1,High
25,Non-binary,Bachelor's,Widowed,26827,653,40446,Home,Self-employed,7,Fair,0.584050163,124927,4,Vaughnchester,WV,Belgium,2,0,Low
41,Female,High School,Widowed,103568,656,,Home,Employed,18,Excellent,0.538391275,,1,Daniellemouth,GA,Armenia,1,1,Low
50,Non-binary,Master's,Widowed,42628,787,16053,Personal,Employed,13,Excellent,0.185966542,170568,0,Lake Lauren,CO,Mozambique,,0,Medium
43,Male,PhD,Married,53926,673,,Home,Self-employed,17,Excellent,0.153172736,194023,,Timothychester,NM,Brunei Darussalam,0,2,Low
48,Female,Bachelor's,Single,,702,28886,Home,Unemployed,1,Fair,0.470434833,27345,3,East Sarah,GU,Norway,1,2,High
47,Male,Bachelor's,Married,30101,,26233,Business,Self-employed,10,Excellent,0.425714386,57477,4,West Henry,FM,Iran,,2,Low
56,Female,High School,Married,24286,763,27211,Auto,Self-employed,17,Good,0.503505298,294656,2,Roybury,IA,India,4,0,High
24,Male,Bachelor's,Married,94667,768,26118,Home,Self-employed,13,Good,0.426268032,104282,1,Vanessaton,HI,Papua New Guinea,2,0,Low
61,Female,High School,Married,,683,30972,Home,Self-employed,0,Excellent,0.498123767,,1,West Dianeburgh,MA,Latvia,3,1,Medium
27,Non-binary,PhD,Widowed,112944,754,23134,Business,Self-employed,3,Fair,0.218627842,262415,0,Schneiderside,CO,Spain,0,2,Low
68,Female,Master's,Married,29013,670,34288,Home,Unemployed,2,Good,0.160666975,91153,,Martinmouth,IA,Bolivia,1,2,Low
67,Non-binary,Bachelor's,Single,57190,,,Home,Self-employed,16,Fair,0.434700606,191626,,Kerrishire,MP,Sierra Leone,2,1,Low
69,Male,High School,Single,89683,600,47081,Personal,Employed,0,Poor,0.190780882,204105,4,Lopezstad,SD,Maldives,2,2,High
60,Non-binary,High School,Single,78940,727,16438,Home,Employed,18,Fair,0.347578076,141512,,East Melissa,NC,Fiji,,0,Low
45,Female,Master's,Married,,658,,Home,Self-employed,15,Poor,0.521253971,33578,2,Heathertown,CT,Tanzania,2,1,Medium
56,Male,High School,Single,,605,46185,Home,Unemployed,17,Fair,0.563729003,238190,4,Gordonberg,MI,Madagascar,1,2,Medium
54,Female,PhD,Divorced,117421,674,22789,Business,Self-employed,2,Fair,0.49799463,124207,3,Ramirezville,MT,Togo,0,1,Low
40,Female,Master's,Divorced,41323,627,45691,Personal,Unemployed,17,Good,0.325915227,272492,3,Lake John,NV,Christmas Island,3,1,Medium
61,Non-binary,PhD,Single,112297,773,41898,Business,Unemployed,9,Good,0.400565215,231574,3,Brownton,UT,Syrian Arab Republic,4,1,Medium
20,Male,High School,Divorced,119134,719,17765,Business,Unemployed,0,Fair,0.144759468,260164,4,West Tylerton,AK,Austria,0,1,Medium
48,Male,High School,Divorced,73952,676,5894,Business,Self-employed,6,Poor,0.481116037,61329,1,Port Kaylee,ME,Mayotte,0,1,Low
40,Female,PhD,Single,89678,686,22488,Home,Employed,8,Excellent,0.17737362,203876,4,Jeffreymouth,MP,Eritrea,2,1,Medium
42,Male,Bachelor's,Single,48754,721,21595,Auto,Self-employed,7,Fair,0.30557024,40481,3,Tuckertown,IN,Central African Republic,2,2,High
33,Non-binary,Master's,Divorced,28896,,30322,Auto,Self-employed,1,Good,0.381655117,92423,0,Sanchezbury,FM,Western Sahara,1,0,Medium
42,Non-binary,High School,Widowed,111296,606,48337,Auto,Employed,4,Fair,0.279053778,43839,4,Salasberg,CA,India,1,0,Low
52,Male,High School,Single,41643,674,32487,Personal,Employed,1,Excellent,0.546998291,156682,1,Roseborough,CO,Jersey,3,0,Medium
38,Female,PhD,Single,50976,758,30249,Personal,Self-employed,15,Fair,0.472085474,74247,0,Carrside,NC,Wallis and Futuna,3,0,Medium
65,Male,Bachelor's,Widowed,98314,625,27295,Auto,Employed,3,Excellent,0.455985401,292546,3,North Ronaldfort,SC,Serbia,2,1,High
54,Male,Master's,Divorced,58892,708,34750,Personal,Self-employed,11,Good,0.452117584,164964,0,North Michelle,IN,Singapore,,0,Low
69,Female,High School,Divorced,58723,736,40898,Home,Employed,15,Fair,0.342199322,126115,1,Kaylaland,MH,Honduras,3,1,Medium
35,Female,High School,Widowed,38204,611,47824,Business,Employed,7,Fair,0.483529346,109249,4,South Michael,NH,Swaziland,1,0,High
20,Non-binary,High School,Widowed,,,20749,Home,Unemployed,3,Excellent,0.571996519,45205,4,Johnchester,SD,Iran,4,2,Low
26,Female,PhD,Divorced,81794,780,39984,Home,Self-employed,12,Poor,0.387209985,204113,1,Loriville,OR,Cape Verde,1,1,Low
18,Non-binary,PhD,Divorced,71265,753,11246,Home,Self-employed,5,Poor,0.565590155,275641,2,East Antonioview,MS,Armenia,,1,High
52,Non-binary,High School,Divorced,81600,662,21651,Auto,Self-employed,10,Fair,0.361796814,50884,2,Wilsonport,ID,Angola,,1,Low
23,Male,Master's,Single,,,15818,Personal,Unemployed,7,Good,0.504678767,178297,1,Port Richard,DC,Mongolia,4,1,Low
22,Non-binary,PhD,Single,67576,643,39467,Auto,Unemployed,5,Fair,0.543288746,22932,1,Marthaport,WA,Belize,1,1,High
24,Male,Master's,Widowed,39465,779,37795,Home,Self-employed,13,Fair,0.533048229,284391,2,West Andrew,AZ,Dominica,3,0,High
51,Non-binary,Bachelor's,Single,,610,38085,Business,Self-employed,14,Excellent,0.513960434,,1,Shortburgh,MP,Jamaica,1,0,High
23,Female,High School,Single,33133,613,29616,Personal,Unemployed,18,Excellent,0.306451274,,1,West Staceyberg,WA,Papua New Guinea,0,1,High
61,Male,Master's,Widowed,77924,,,Auto,Employed,8,Good,0.28381014,25738,4,South Ruthberg,VI,Guam,2,1,Low
29,Male,Bachelor's,Married,47572,671,44347,Personal,Employed,16,Good,0.333578685,147975,4,New Donna,NE,American Samoa,1,2,High
56,Male,High School,Divorced,,779,6819,Auto,Employed,6,Good,0.54940011,140140,2,Gonzalezland,CA,Central African Republic,0,2,High
61,Male,High School,Divorced,59288,,5666,Home,Employed,16,Poor,0.533640969,59156,1,West Heidi,FM,Puerto Rico,4,2,Medium
23,Female,High School,Married,35648,705,5496,Home,Self-employed,1,Excellent,0.474461211,211248,3,Lake Courtney,IL,Netherlands,3,1,Low
56,Male,PhD,Single,81836,628,9707,Personal,Self-employed,7,Fair,0.275721783,54804,1,Johnland,UT,Iran,1,0,Medium
22,Non-binary,PhD,Married,35964,686,19105,Auto,Unemployed,6,Good,0.37625408,211243,4,Julianport,VI,Zimbabwe,0,0,Medium
47,Female,PhD,Single,53580,628,35978,Auto,Self-employed,19,Excellent,0.599389503,126190,2,Reyestown,IA,Heard Island and McDonald Islands,1,1,Medium
28,Male,PhD,Single,80857,702,11027,Personal,Employed,16,Excellent,0.495677078,76012,0,Nelsonville,ID,Cameroon,0,2,Low
50,Male,PhD,Divorced,29566,785,,Business,Self-employed,1,Good,0.184684203,,3,Ruizmouth,VT,China,4,0,Low
62,Male,Bachelor's,Divorced,114542,796,20094,Home,Employed,3,Fair,0.558052178,129210,2,Whitebury,DC,Slovakia (Slovak Republic),1,0,Low
56,Female,PhD,Single,82661,773,28057,Business,Unemployed,1,Good,0.412307471,211913,0,South Reginafort,OH,Mauritania,4,1,Medium
19,Non-binary,PhD,Widowed,20721,670,33560,Business,Unemployed,14,Fair,0.246808462,,3,Williamsonfort,CT,Kiribati,2,2,Medium
48,Non-binary,High School,Divorced,60721,645,31793,Home,Employed,6,Excellent,0.446340805,299768,4,South Harold,WY,South Georgia and the South Sandwich Islands,2,1,High
27,Female,Bachelor's,Single,99158,797,19775,Auto,Unemployed,6,Good,0.208157396,293033,0,Port Mary,FM,Moldova,0,2,High
19,Female,Master's,Widowed,72838,709,11306,Auto,Unemployed,1,Fair,0.113100627,96073,0,Osbornestad,MD,Djibouti,0,1,Medium
39,Non-binary,PhD,Single,,626,29116,Business,Employed,6,Excellent,0.14677025,59754,0,Colintown,MS,Tanzania,2,1,Low
23,Male,Bachelor's,Married,88201,666,,Personal,Unemployed,19,Poor,0.213770131,,2,Keithborough,PW,Puerto Rico,1,1,High
34,Non-binary,High School,Divorced,39689,676,,Business,Self-employed,1,Fair,0.126779624,155868,3,Michaelton,AL,Portugal,0,1,Medium
54,Non-binary,PhD,Married,100721,730,,Home,Unemployed,4,Poor,0.33570517,186016,1,Thompsonport,MA,Heard Island and McDonald Islands,2,1,Low
40,Male,Bachelor's,Married,51147,,8571,Home,Employed,10,Excellent,0.593237203,,4,North Sophia,WV,Bangladesh,2,2,Low
69,Male,Master's,Divorced,60831,618,48377,Personal,Employed,0,Poor,0.205196335,243564,4,Jonathanhaven,AS,Kazakhstan,4,2,High
60,Non-binary,Master's,Widowed,22925,756,41123,Auto,Unemployed,3,Good,0.454868224,61052,0,Rebeccabury,DE,Togo,3,1,Low
43,Male,Bachelor's,Divorced,86092,737,15249,Auto,Employed,18,Excellent,0.222639781,292488,1,Shieldston,CA,Saint Lucia,,1,High
29,Non-binary,Bachelor's,Widowed,26073,,35938,Business,Employed,0,Poor,0.449735385,205582,3,North Richardton,HI,United Kingdom,2,1,Low
21,Non-binary,Bachelor's,Single,104269,722,16901,Auto,Self-employed,19,Good,0.323723571,25274,3,South Wendy,WV,Japan,1,2,Low
42,Non-binary,PhD,Divorced,88230,791,12587,Personal,Self-employed,14,Fair,0.264790831,148574,3,North Bailey,KS,Latvia,4,0,High
24,Non-binary,Bachelor's,Divorced,49415,667,15558,Home,Self-employed,9,Fair,0.173405351,,0,Lake Charlesburgh,IA,Zimbabwe,,2,High
63,Non-binary,Bachelor's,Married,69057,603,45839,Personal,Employed,5,Excellent,0.156345301,268410,0,Russellburgh,VT,Grenada,0,2,Low
37,Male,Bachelor's,Widowed,63352,655,24531,Business,Unemployed,13,Poor,0.117715842,141533,1,West Christopherland,GU,Ecuador,3,1,High
45,Male,Master's,Widowed,56069,741,41421,Home,Unemployed,8,Poor,0.376172636,51691,1,Johnton,TX,Papua New Guinea,0,0,High
43,Male,PhD,Married,,623,,Personal,Self-employed,16,Poor,0.387968525,293185,0,North Jeremiahmouth,AR,Suriname,1,1,Medium
45,Female,High School,Divorced,107359,680,44811,Auto,Unemployed,2,Poor,0.515372993,158652,4,Jacobsfurt,NH,Puerto Rico,4,1,High
29,Female,Master's,Married,71543,740,,Home,Employed,15,Fair,0.177610252,83229,3,Port Johnton,IA,Mali,2,0,Low
52,Female,Bachelor's,Married,93030,752,42161,Home,Unemployed,6,Fair,0.316316557,,0,Laurenville,HI,Chad,4,0,High
65,Female,High School,Divorced,47678,748,8672,Personal,Self-employed,15,Good,0.377887661,148753,2,Gonzalezberg,DE,Senegal,3,0,Low
18,Non-binary,Bachelor's,Divorced,56786,673,36600,Business,Self-employed,0,Good,0.459052303,41520,2,South Christopherfurt,AL,Iran,3,0,Medium
22,Non-binary,Bachelor's,Widowed,90639,620,44101,Home,Self-employed,16,Good,0.45541256,297705,2,Jerrybury,WI,Bahamas,1,2,Medium
38,Male,Master's,Divorced,,759,,Personal,Self-employed,10,Excellent,0.123673501,,2,Andrefurt,MN,Chad,0,1,Medium
38,Non-binary,PhD,Single,46165,746,42813,Auto,Unemployed,5,Poor,0.470873765,84570,,Samanthaborough,CT,Cocos (Keeling) Islands,4,0,Medium
48,Male,PhD,Single,54364,657,30420,Personal,Unemployed,3,Fair,0.271153158,50927,4,Lake Elizabethshire,MH,Uganda,4,1,Low
62,Female,High School,Widowed,72955,607,,Home,Self-employed,9,Excellent,0.233504728,144129,,Douglasborough,HI,Botswana,0,0,Low
34,Female,High School,Widowed,58738,634,37272,Home,Self-employed,10,Poor,0.380300805,190369,3,Andrewton,CO,Puerto Rico,4,0,Medium
59,Male,High School,Married,99435,711,10909,Auto,Employed,9,Excellent,0.307794868,208488,4,Josephhaven,WI,Isle of Man,,2,High
69,Female,High School,Widowed,54457,648,29807,Business,Unemployed,2,Fair,0.294418546,144738,3,Port Katherine,MS,Wallis and Futuna,3,2,Low
69,Female,High School,Divorced,46875,691,29358,Personal,Self-employed,2,Excellent,0.524216635,65027,4,Martineztown,SC,Haiti,,0,Low
18,Female,Bachelor's,Married,77255,713,32476,Home,Employed,7,Poor,0.480628164,171826,,Anthonyview,AZ,Isle of Man,,0,Low
25,Male,High School,Widowed,107725,683,18177,Auto,Unemployed,12,Good,0.364419526,36736,1,Roseton,OR,Zimbabwe,2,0,Low
68,Female,Bachelor's,Single,37744,663,,Auto,Self-employed,6,Excellent,0.112332501,92369,1,North Jacquelineville,HI,Iraq,1,2,High
32,Male,Bachelor's,Divorced,104728,,25509,Auto,Self-employed,18,Excellent,0.5060635,,2,Morrischester,VT,Oman,1,2,Low
28,Male,Master's,Married,81282,724,23863,Home,Employed,7,Good,0.470428978,100469,,Smithland,AZ,Brunei Darussalam,0,2,Medium
23,Non-binary,PhD,Married,56312,660,,Auto,Employed,4,Poor,0.107074522,270349,4,Thompsonport,NV,Antarctica (the territory South of 60 deg S),4,1,High
58,Non-binary,High School,Widowed,,720,7640,Auto,Unemployed,7,Poor,0.244305433,134053,0,East Joseph,IN,Lesotho,3,2,High
37,Non-binary,High School,Divorced,51051,675,8334,Home,Employed,17,Fair,0.408915309,227005,3,Christopherview,KS,Falkland Islands (Malvinas),3,2,High
57,Male,Master's,Widowed,92928,680,30104,Business,Self-employed,8,Good,0.516133828,20104,1,Hendricksmouth,SC,Czech Republic,2,0,High
39,Female,Master's,Widowed,116384,723,15208,Home,Employed,16,Good,0.406481711,240112,,East Jonathan,FM,United Arab Emirates,2,0,Low
46,Female,PhD,Married,24125,653,33618,Home,Unemployed,11,Good,0.405522479,161008,0,North Aliciahaven,WY,Hungary,4,1,High
46,Male,Master's,Married,95730,792,,Auto,Unemployed,10,Fair,0.133008408,70545,1,Lake Ryan,MI,Yemen,2,2,Medium
42,Female,Master's,Married,26714,659,,Home,Employed,19,Fair,0.251396409,218074,0,Hillshire,MO,Egypt,4,1,Medium
69,Female,High School,Widowed,,686,31102,Business,Unemployed,6,Good,0.42986507,21490,1,Matthewside,WY,Malawi,,2,Low
40,Male,PhD,Single,26503,645,23379,Personal,Unemployed,2,Poor,0.56013067,211168,2,Leeburgh,NC,Yemen,4,2,Medium
40,Male,High School,Divorced,27084,750,5357,Auto,Self-employed,4,Excellent,0.311581047,109976,2,Katiefort,NJ,Venezuela,4,2,Low
44,Male,High School,Married,78956,,,Personal,Self-employed,0,Excellent,0.24015056,,0,Chaseville,IL,Luxembourg,1,2,Low
43,Female,PhD,Widowed,109579,670,5331,Home,Unemployed,12,Excellent,0.342271915,224385,,Lake Sarahhaven,MN,Czech Republic,0,1,High
47,Non-binary,High School,Single,,719,7897,Business,Employed,11,Poor,0.253043331,251443,4,Dickersonfort,MP,Palau,,0,Medium
44,Male,Bachelor's,Widowed,119919,660,,Personal,Self-employed,14,Excellent,0.187285936,284389,0,West Timothyville,CO,Liberia,3,2,Low
29,Non-binary,Bachelor's,Married,58698,,36099,Home,Self-employed,6,Fair,0.458702522,,1,Davidton,IN,Nauru,1,1,Low
